delegateKey,shares,loot,kicked,jailed,tokenTribute,didRagequit,memberAddress,exists,createdAt,isDao,isSafeMinion
"0x1db3439a222c519ab44bb1144fc28167b4fa6ee6","1000","0","false","","0","false","0x1db3439a222c519ab44bb1144fc28167b4fa6ee6","true","1629845697","",""
"0x2586e4b30c581ee20af694495dbcf98daecde75e","500","0","false","","0","false","0x2586e4b30c581ee20af694495dbcf98daecde75e","true","1629845697","",""
"0xfaae12e4166e499666e94da41b174aa669a7d79e","100","0","false","","0","false","0xfaae12e4166e499666e94da41b174aa669a7d79e","true","1629845697","",""
"0xed94c5ca5f764687f8555e32ed191a959bb50fd5","100","0","false","","0","false","0xed94c5ca5f764687f8555e32ed191a959bb50fd5","true","1629845697","",""
"0xe8e4a1d6bff7a3b8904eedd3feb6e7927736c055","100","0","false","","0","false","0xe8e4a1d6bff7a3b8904eedd3feb6e7927736c055","true","1629845697","",""
"0xe84c0c01d76c169e9c92b6e666b52e4f4b6e5300","100","0","false","","0","false","0xe84c0c01d76c169e9c92b6e666b52e4f4b6e5300","true","1629845697","",""
"0xdf95439916bc1a4eabc3df006665dd31b424e174","100","0","false","","0","false","0xdf95439916bc1a4eabc3df006665dd31b424e174","true","1629845697","",""
"0xc746a92f997333841adf686253eb77441d9868f4","100","0","false","","0","false","0xc746a92f997333841adf686253eb77441d9868f4","true","1629845697","",""
"0xae5fb390e5c4fa1962e39e98dbfb0ed8055ed7a9","100","0","false","","0","false","0xae5fb390e5c4fa1962e39e98dbfb0ed8055ed7a9","true","1629845697","",""
"0xabbd0c374f54edc4392c9ff45db9b65e91bc2678","100","0","false","","0","false","0xabbd0c374f54edc4392c9ff45db9b65e91bc2678","true","1629845697","",""
"0x10f5d45854e038071485ac9e402308cf80d2d2fe","100","0","false","","0","false","0xa619a7c8f89a6338756a428b710bbcd7a094d140","true","1629845697","",""
"0x965fdb32e3fcdc6dc323464a42a9615e6a5464d1","100","0","false","","0","false","0x965fdb32e3fcdc6dc323464a42a9615e6a5464d1","true","1629845697","",""
"0x89e12f054526b985188b946063ddc874a62fed45","100","0","false","","0","false","0x89e12f054526b985188b946063ddc874a62fed45","true","1629845697","",""
"0x6b6398c9838d92a779b52f8cf3d91a6586fccb7f","100","0","false","","0","false","0x6b6398c9838d92a779b52f8cf3d91a6586fccb7f","true","1629845697","",""
"0x5e682cb9b6dc4b0fd299908672839556485e992b","100","0","false","","0","false","0x5e682cb9b6dc4b0fd299908672839556485e992b","true","1629845697","",""
"0x53daa790311c435a8957c6b4ec1855357923e729","100","0","false","","0","false","0x53daa790311c435a8957c6b4ec1855357923e729","true","1629845697","",""
"0x4c0a466df0628fe8699051b3ac6506653191cc21","100","0","false","","0","false","0x50b132becbcf8344b5d902abfb011bfc95a25942","true","1629845697","",""
"0x1c9e5aba9bce815ed3bb7d9455931b84c56d5114","100","0","false","","0","false","0x2b0f6fd62dcec4e997bb08f20a731cb36a8e3042","true","1629845697","",""
"0x28ab95385e1a576fe15c70c4850dcdc6b10a5f6d","100","0","false","","0","false","0x28ab95385e1a576fe15c70c4850dcdc6b10a5f6d","true","1629845697","",""
"0x0f0957c08314205327bbec069307390251fbca91","100","0","false","","0","false","0x0f0957c08314205327bbec069307390251fbca91","true","1629845697","",""
"0x0a9e871cf80289e592df3c503db3dd8167fbbd07","100","0","false","","0","false","0x0a9e871cf80289e592df3c503db3dd8167fbbd07","true","1629845697","",""
"0x3274e22d86cc21778df15836833e147b1894d3e4","72","0","false","","0","false","0x3274e22d86cc21778df15836833e147b1894d3e4","true","1629845697","",""
"0xc82a6220398714f74e2d929309f4c5b1d4f7b0f6","38","0","false","","0","true","0xc82a6220398714f74e2d929309f4c5b1d4f7b0f6","true","1629845697","",""
"0xebac3108c58bd4dd48a8110b7750480cea7bc3fb","20","0","false","","0","true","0xebac3108c58bd4dd48a8110b7750480cea7bc3fb","true","1629845697","",""
"0xd26a3f686d43f2a62ba9eae2ff77e9f516d945b9","15","0","false","","0","false","0xd26a3f686d43f2a62ba9eae2ff77e9f516d945b9","true","1629845697","",""
"0x1a57f99c4759f4e4e29140b1d7a89584e1c1ef67","10","0","false","","0","false","0x1a57f99c4759f4e4e29140b1d7a89584e1c1ef67","true","1629845697","",""
