date,currentShares,currentLoot
"Mon Aug 09 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Aug 16 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Aug 23 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10800003","0"
"Mon Aug 30 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon Sep 06 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10600003","0"
"Mon Sep 13 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Sep 20 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Sep 27 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Oct 04 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Oct 11 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Oct 18 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Oct 25 2021 16:11:10 GMT+0100 (Britische Sommerzeit)","10900003","0"
"Mon Nov 01 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Nov 08 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Nov 15 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Nov 22 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Nov 29 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Dec 06 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Dec 13 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Dec 20 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10800003","0"
"Mon Dec 27 2021 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10800003","0"
"Mon Jan 03 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10800003","0"
"Mon Jan 10 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10800003","0"
"Mon Jan 17 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10800003","0"
"Mon Jan 24 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10800003","0"
"Mon Jan 31 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10800003","0"
"Mon Feb 07 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","11000003","0"
"Mon Feb 14 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","11000003","0"
"Mon Feb 21 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Feb 28 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10900003","0"
"Mon Mar 07 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10700003","0"
"Mon Mar 14 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10700003","0"
"Mon Mar 21 2022 16:11:10 GMT+0000 (Mittlere Greenwich-Zeit)","10700003","0"
"Mon Mar 28 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon Apr 04 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon Apr 11 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon Apr 18 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon Apr 25 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon May 02 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon May 09 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon May 16 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon May 23 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon May 30 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon Jun 06 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
"Mon Jun 13 2022 16:11:10 GMT+0100 (Britische Sommerzeit)","10700003","0"
