delegateKey,shares,loot,kicked,jailed,tokenTribute,didRagequit,memberAddress,exists,createdAt,isDao,isSafeMinion
"0xf8a685702347377e396486967399f33c6c0c0a29","700000","0","false","","840000000000000000000","true","0xf8a685702347377e396486967399f33c6c0c0a29","true","1589824929","",""
"0xa2e3bdae9569c89b13cd4407a87fd063253b84f8","700000","0","false","","840000000000000000000","false","0xa2e3bdae9569c89b13cd4407a87fd063253b84f8","true","1597234381","",""
"0xe164644e1e8bb14ba8aa19be1b78ec6cf22f7ca8","600000","0","false","","341377475689866458036","false","0xd24ff5e32de12be154b1c2ee7b731cbc45540e50","true","1593617573","",""
"0x2afb58a22e7d3c241ab7b9a1f68b9e8e74ec9d68","500000","0","false","","609320000000000000000","false","0x2afb58a22e7d3c241ab7b9a1f68b9e8e74ec9d68","true","1594319608","",""
"0xc4b000efc4c5622aa43065190bbf4b3ae133fd3f","400000","0","false","","507960000000000000000","false","0xc4b000efc4c5622aa43065190bbf4b3ae133fd3f","true","1594319427","",""
"0x407d1349a1179472c29dc58431ce9bfca3f5fecd","400000","0","false","","489320000000000000000","false","0x407d1349a1179472c29dc58431ce9bfca3f5fecd","true","1589825018","",""
"0x891bad61014e35395474a260b58bb6df4fd8991b","300000","0","false","","360000000000000000000","false","0x891bad61014e35395474a260b58bb6df4fd8991b","true","1597394203","",""
"0x5d89cc281c3f45433d93a33e1c64958b61bbef7b","300000","0","false","","0","false","0x5d89cc281c3f45433d93a33e1c64958b61bbef7b","true","1651607221","",""
"0xf5fb27b912d987b5b6e02a1b1be0c1f0740e2c6f","200000","0","false","","240000000000000000000","false","0xf5fb27b912d987b5b6e02a1b1be0c1f0740e2c6f","true","1597394557","",""
"0xd6f28bd94d1edefdf8fde8f6f10094fef7e590c0","200000","0","false","","240000000000000000000","false","0xd6f28bd94d1edefdf8fde8f6f10094fef7e590c0","true","1597133381","",""
"0xc3856d975e400f7f82391fdf652885edcdb6d116","200000","0","false","","258640000000000000000","false","0xc3856d975e400f7f82391fdf652885edcdb6d116","true","1598896603","",""
"0xbe255852c4301d6392fb1d65003b7a0e0ef6e6b0","200000","0","false","","240000000000000000000","false","0xbe255852c4301d6392fb1d65003b7a0e0ef6e6b0","true","1592916024","",""
"0x830ee29452f01ae4302bdde2ec6411604634e006","200000","0","false","","240000000000000000000","false","0x830ee29452f01ae4302bdde2ec6411604634e006","true","1589825195","",""
